COUNTRYCODE_UN,ALLCOUNTRY
4,Afghanistan
8,Albania
12,Algeria
16,NotAccounted
20,NotAccounted
24,Angola
28,NotAccounted
31,Azerbaijan
32,Argentina
36,Australia
40,Austria
44,Bahamas
48,Bahrain
50,Bangladesh
51,Armenia
52,NotAccounted
56,Belgium
60,NotAccounted
64,Bhutan
68,Bolivia
70,BosniaHerzg
72,Botswana
76,Brazil
84,Belize
90,SolomonIs
92,NotAccounted
96,BruneiDarsm
100,Bulgaria
104,Myanmar
108,Burundi
112,Belarus
116,Cambodia
120,Cameroon
124,Canada
132,CapeVerde
136,NotAccounted
140,CentAfrRep
144,SriLanka
148,Chad
152,Chile
156,China
170,Colombia
174,Comoros
175,NotAccounted
178,CongoRep
180,CongoDemR
184,NotAccounted
188,CostaRica
191,Croatia
192,Cuba
196,Cyprus
203,CzechRep
204,Benin
208,Denmark
212,NotAccounted
214,DominicanRp
218,Ecuador
222,ElSalvador
226,EqGuinea
231,Ethiopia
232,Eritrea
233,Estonia
234,NotAccounted
238,FalklandIs
242,FijiIslands
246,Finland
248,NotAccounted
250,France
254,FrGuiana
258,FrPolynesia
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
275,Palestin
276,Germany
288,Ghana
292,NotAccounted
296,NotAccounted
300,Greece
304,Greenland
308,NotAccounted
312,Guadeloupe
316,NotAccounted
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
336,NotAccounted
340,Honduras
344,NotAccounted
348,Hungary
352,Iceland
356,India
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
380,Italy
384,CotedIvoire
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
408,KoreaDPRp
410,KoreaRep
414,Kuwait
417,Kyrgyzstan
418,Laos
422,Lebanon
426,Lesotho
428,Latvia
430,Liberia
434,Libya
438,NotAccounted
440,Lithuania
442,Luxembourg
446,NotAccounted
450,Madagascar
454,Malawi
458,Malaysia
462,NotAccounted
466,Mali
470,Malta
474,NotAccounted
478,Mauritania
480,Mauritius
484,Mexico
492,NotAccounted
496,Mongolia
498,MoldovaRep
499,NotAccounted
500,NotAccounted
504,Morocco
508,Mozambique
512,Oman
516,Namibia
520,NotAccounted
524,Nepal
528,Netherlands
530,NotAccounted
533,NotAccounted
540,NewCaledonia
548,Vanuatu
554,NewZealand
558,Nicaragua
562,Niger
566,Nigeria
570,NotAccounted
574,NotAccounted
578,Norway
580,NotAccounted
583,NotAccounted
584,NotAccounted
585,NotAccounted
586,Pakistan
591,Panama
598,PapuaNGuin
600,Paraguay
604,Peru
608,Philippines
612,NotAccounted
616,Poland
620,Portugal
624,GuineaBissau
626,TimorLeste
630,PuertoRico
634,Qatar
638,Reunion
642,Romania
643,RussianFed
646,Rwanda
652,NotAccounted
654,NotAccounted
659,NotAccounted
660,NotAccounted
662,NotAccounted
663,NotAccounted
666,NotAccounted
670,NotAccounted
674,NotAccounted
678,NotAccounted
682,SaudiArabia
686,Senegal
688,Serbia-Monte
690,NotAccounted
694,SierraLeone
702,Singapore
703,Slovakia
704,VietNam
705,Slovenia
706,Somalia
710,SouthAfrica
716,Zimbabwe
724,Spain
732,WestSahara
736,Sudan
740,Suriname
744,NotAccounted
748,Swaziland
752,Sweden
756,Switzerland
760,Syria
762,Tajikistan
764,Thailand
768,Togo
772,NotAccounted
776,NotAccounted
780,TrinidadTob
784,UntdArabEm
788,Tunisia
792,Turkey
795,Turkmenistan
796,NotAccounted
798,NotAccounted
800,Uganda
804,Ukraine
807,Macedonia
818,Egypt
826,UK
831,NotAccounted
832,NotAccounted
833,NotAccounted
834,Tanzania
840,USA
850,NotAccounted
854,BurkinaFaso
858,Uruguay
860,Uzbekistan
862,Venezuela
876,NotAccounted
882,Samoa
887,Yemen
894,Zambia
